GRUPO;EMPRESA
UPSTREAM;CANACOL ENERGY COLOMBIA S.A.S. SUCURSAL BOLIVIA
UPSTREAM;GP EXPLORACION Y PRODUCCION S.L.  SUCURSAL BOLIVIA
UPSTREAM;FLUXUS BOLIVIA S. A.
UPSTREAM;MATPETROL S.A.
UPSTREAM;PAE E&P BOLIVIA LIMITED SUCURSAL BOLIVIA
UPSTREAM;PETROBRAS BOLIVIA S.A.
UPSTREAM;REPSOL E&P BOLIVIA S.A.
UPSTREAM;SHELL BOLIVIA CORPORATION, SUCURSAL BOLIVIA
UPSTREAM;TECPETROL DE BOLIVIA S.A.
UPSTREAM;TOTALENERGIES EP BOLIVIE SUCURSAL BOLIVIA
UPSTREAM;VINTAGE PETROLEUM BOLIVIANA LTD.
UPSTREAM;YPF E&P HIDROCARBUROS DE BOLIVIA
DOWNSTREAM - Industria, transporte y distribucion de Hidrocarburos;GASORIENTE BOLIVIANO LTDA
DOWNSTREAM - Industria, transporte y distribucion de Hidrocarburos;PRODIMSA
DOWNSTREAM - Industria, transporte y distribucion de Hidrocarburos;MATRIX COMERCIALIZADORA DE GAS
ADHERENTE;ASOSUR NACIONAL
POZO - Servicios y suministros especializado en pozo;BOLIVIAN PETROLEUM EQUIPMENT - B.P.E. LTDA.
POZO - Servicios y suministros especializado en pozo;CONTINENTAL INSPECTION SERVICES S.A.
POZO - Servicios y suministros especializado en pozo;HALLIBURTON LATIN AMERICA S.R.L. (SUCURSAL BOLIVIA
POZO - Servicios y suministros especializado en pozo;EQUIPETROL - EQUIPO PETROLERO S.A.
POZO - Servicios y suministros especializado en pozo;NATIONAL OILWELL VARCO DE BOLIVIA S.R.L.
POZO - Servicios y suministros especializado en pozo;PETROLOG SERVICIOS PETROLEROS S.A.
POZO - Servicios y suministros especializado en pozo;RIGMASTER S.R.L.
POZO - Servicios y suministros especializado en pozo;SCHLUMBERGER SURENCO S.A.
POZO - Servicios y suministros especializado en pozo;TECDRILL SERVICIOS PETROLEROS SA
POZO - Servicios y suministros especializado en pozo;TENARIS GLOBAL SERVICES DE BOLIVIA S.R.L.
POZO - Servicios y suministros especializado en pozo;WELLSER S.R.L.
POZO - Servicios y suministros especializado en pozo;WET CHEMICAL BOLIVIA S.R.L.
SUPERFICIE - Servicios y suministros especializado en superficie;BOLPEGAS S.R.L.
SUPERFICIE - Servicios y suministros especializado en superficie;CARLOS CABALLERO S.A.
SUPERFICIE - Servicios y suministros especializado en superficie;CONFIPETROL S.A. SUCURSAL BOLIVIA
SUPERFICIE - Servicios y suministros especializado en superficie;ENERGY ADVANCES S.R.L.
SUPERFICIE - Servicios y suministros especializado en superficie;ENERFLEX
SUPERFICIE - Servicios y suministros especializado en superficie;HOERBIGER DE ARGENTINA S.A. SUCURSAL BOLIVIA
SUPERFICIE - Servicios y suministros especializado en superficie;INTERGAS REPRESENTACIONES S.A.
SUPERFICIE - Servicios y suministros especializado en superficie;INTERGAS REPRESENTACIONES S.A.
SUPERFICIE - Servicios y suministros especializado en superficie;INTERTEK TESTING SERVICES BOLIVIA S.A.
SUPERFICIE - Servicios y suministros especializado en superficie;MONTAJE PETROLERO MOPETMAN SRL
SUPERFICIE - Servicios y suministros especializado en superficie;OISSCO S.A.
SUPERFICIE - Servicios y suministros especializado en superficie;OILCORP SRL 
SUPERFICIE - Servicios y suministros especializado en superficie;TECNA BOLIVIA SA
AUXILIARES - Servicios Auxiliares;C.R.F. & ROJAS ABOGADOS
AUXILIARES - Servicios Auxiliares;DENTONS GUEVARA & GUTIERREZ
AUXILIARES - Servicios Auxiliares;ECONAT LTDA.
AUXILIARES - Servicios Auxiliares;IA ASOCIADOS
AUXILIARES - Servicios Auxiliares;INBOLPACK S.R.L.
AUXILIARES - Servicios Auxiliares;ITC SERVICIOS S.R.L.
AUXILIARES - Servicios Auxiliares;KIEFFER & ASOCIADOS S.A. CORREDORES DE SEGUROS
AUXILIARES - Servicios Auxiliares;PPO Abogados Sociedad Civil
AUXILIARES - Servicios Auxiliares;SOLARIA SRL
AUXILIARES - Servicios Auxiliares;SUDAMERICANA CORREDORES Y ASESORES DE SEGUROS
AUXILIARES - Servicios Auxiliares;WAYAR & VON BORRIES, Abogados
